DATE,CPP
1948-01-01,421.4
1948-02-01,425
1948-03-01,426.5
1948-04-01,420.2
1948-05-01,417.5
1948-06-01,414.5
1948-07-01,409.4
1948-08-01,407.6
1948-09-01,407.6
1948-10-01,409.4
1948-11-01,412.1
1948-12-01,415.1
1949-01-01,415.7
1949-02-01,420.2
1949-03-01,419.3
1949-04-01,418.7
1949-05-01,419.3
1949-06-01,418.7
1949-07-01,421.4
1949-08-01,420.2
1949-09-01,418.7
1949-10-01,420.8
1949-11-01,420.2
1949-12-01,422.6
1950-01-01,424.4
1950-02-01,425.6
1950-03-01,423.8
1950-04-01,423.2
1950-05-01,421.4
1950-06-01,419.3
1950-07-01,415.1
1950-08-01,411.8
1950-09-01,408.8
1950-10-01,406.7
1950-11-01,404.9
1950-12-01,399.5
1951-01-01,393.2
1951-02-01,388.8
1951-03-01,387.3
1951-04-01,386.7
1951-05-01,385.2
1951-06-01,385.8
1951-07-01,385.2
1951-08-01,385.2
1951-09-01,382.8
1951-10-01,380.7
1951-11-01,378.9
1951-12-01,377.4
1952-01-01,377.4
1952-02-01,379.8
1952-03-01,379.8
1952-04-01,378.3
1952-05-01,378
1952-06-01,376.8
1952-07-01,374.1
1952-08-01,373.5
1952-09-01,374.1
1952-10-01,373.5
1952-11-01,373.5
1952-12-01,374.1
1953-01-01,375
1953-02-01,376.8
1953-03-01,375.9
1953-04-01,375.6
1953-05-01,374.7
1953-06-01,373.2
1953-07-01,372.3
1953-08-01,371.4
1953-09-01,370.8
1953-10-01,369.9
1953-11-01,371.4
1953-12-01,371.7
1954-01-01,370.8
1954-02-01,371.4
1954-03-01,371.7
1954-04-01,372.6
1954-05-01,371.4
1954-06-01,370.8
1954-07-01,370.8
1954-08-01,371.4
1954-09-01,372.3
1954-10-01,373.2
1954-11-01,372.6
1954-12-01,373.5
1955-01-01,373.5
1955-02-01,373.5
1955-03-01,373.5
1955-04-01,373.5
1955-05-01,373.5
1955-06-01,373.5
1955-07-01,372.3
1955-08-01,373.2
1955-09-01,371.7
1955-10-01,371.7
1955-11-01,371.4
1955-12-01,372.3
1956-01-01,372.6
1956-02-01,372.6
1956-03-01,372.3
1956-04-01,371.7
1956-05-01,369.9
1956-06-01,367.8
1956-07-01,365.1
1956-08-01,365.4
1956-09-01,365.1
1956-10-01,362.7
1956-11-01,362.7
1956-12-01,361.8
1957-01-01,361.5
1957-02-01,360
