year,Number,Total_per_dist,per_under_15k,15k_to_25k,25k_to_35k,35k_to_50k,50k_to_75k,75k_to_100k,100k_to_150k,150k_to_200k,per_over_200k,Median_income_est,Margin of error,mean_income_est,Margin of error,Race
1973,"69,860",100,10.4,10.2,9.1,12.8,21.6,15.6,14.2,3.7,2.4,"58,400",366,"67,540",338,all
1972,"68,250",100,11.2,9.9,9.1,13.7,21.9,15.4,13.2,3.5,2.2,"57,170",359,"66,540",339,all
1971,"66,680",100,12,9.7,9.6,14.6,22.9,14.9,11.7,3,1.7,"55,010",351,"63,260",331,all
1970,"64,780",100,12.1,9.3,9.4,13.9,23.4,15.4,11.8,2.9,1.8,"55,490",334,"63,530",334,all
1969,"63,400",100,12,9.1,9.1,14.3,23.7,15.5,11.7,2.8,1.7,"55,890",340,"63,590",329,all
1968,"62,210",100,12.3,9.4,9.7,15,24.4,15.1,10.5,2.3,1.4,"53,770",320,"60,840",320,all
1967,"60,810",100,13.5,9.6,9.2,15.9,25.3,13.4,9.3,2.3,1.5,"51,570",309,"57,680",309,all
2022,"101,400",100,7.4,7.2,7.4,10.4,16.2,12.6,17.1,9.5,12.3,"77,250",871,"109,300","1,215",white alone
2021,"102,100",100,7.4,7.2,7.2,10.2,15.3,12.4,16.9,9.5,13.9,"80,080",983,"114,100","1,276",white alone
2020,"100,900",100,6.9,7.2,7.3,10.1,15.6,12.4,17.2,9.6,13.7,"80,750",831,"113,300","1,346",white alone
2019,"100,600",100,6.5,6.7,6.8,10.2,16.1,12.3,17.5,9.7,14.1,"82,240",911,"115,900","1,358",white alone
2018,"100,500",100,7.1,7.3,7.6,10.6,16,13.2,17.1,9.1,12.1,"77,380",746,"108,600","1,194",white alone
2017,"100,100",100,7.3,7.6,7.4,11.4,15.7,12.6,16.9,8.7,12.4,"76,450",993,"107,900","1,245",white alone
2017,"100,100",100,7.3,7.8,7.5,11.4,15.1,12.9,17,9.1,11.9,"76,970",807,"105,700","1,168",white alone
2016,"99,400",100,7.6,7.5,7.8,11.3,16.4,12.6,16.9,8.8,11.2,"74,220",659,"103,600","1,054",white alone
2015,"99,310",100,7.5,8.3,8.2,12,15.5,12.5,16.8,8.9,10.1,"72,760",759,"99,530",936,white alone
2014,"98,680",100,8.6,8.7,8.2,12.1,16.1,12.7,15.7,8.3,9.5,"68,790",706,"95,430","1,041",white alone
2013,"98,810",100,8.5,8.9,8.5,11.5,16.3,13,15.8,7.9,9.6,"69,620","1,043","95,480","1,530",white alone
2013,"97,770",100,8.3,9.1,8.2,12.2,16.9,13.1,15.8,7.9,8.4,"67,790",858,"93,040","1,098",white alone
2012,"97,710",100,8.2,9.2,8.9,12.3,16.7,12.9,15.8,7.9,8.2,"66,690",784,"92,400",948,white alone
2011,"96,960",100,8,8.8,9,12.4,16.9,13.1,15.7,7.7,8.3,"66,080",468,"92,150",879,white alone
2010,"96,310",100,8,9.2,8.8,12,16.6,13,16.2,8,8.3,"67,480",543,"91,880",869,white alone
2009,"95,490",100,7.4,8.4,9.2,11.7,17.2,13.3,16.3,8,8.4,"68,600",335,"93,320",592,white alone
2008,"95,300",100,7.5,8.5,9,11.7,16.7,13.3,16.9,8,8.4,"68,920",329,"93,800",594,white alone
2007,"95,110",100,7,8.7,8.4,11.4,16.6,13.2,17.1,8.5,9.1,"71,180",346,"96,060",602,white alone
2006,"94,710",100,7.1,8,8.2,12.5,17.2,13,16.9,8.1,9,"70,990",339,"96,810",664,white alone
2005,"93,590",100,7.4,8.4,8.4,11.8,17.5,13,17,7.9,8.6,"69,990",503,"95,090",647,white alone
2004,"92,880",100,7.6,8.6,8.4,12.2,17.1,13,16.9,7.8,8.2,"69,210",447,"93,310",632,white alone
2003,"91,960",100,7.5,8.8,8.5,11.9,16.8,13.3,16.7,8.3,8.2,"69,380",448,"93,640",618,white alone
2002,"91,650",100,7.5,8.8,8.2,12.2,16.6,13.5,17.2,8.1,7.9,"69,980",467,"93,380",626,white alone
2001,"90,680",100,7.1,8.8,8.3,11.9,17,13.4,17.2,8,8.3,"69,960",540,"95,090",672,white
2000,"90,030",100,7,8.5,7.9,12.4,17,13.6,17.3,8,8.2,"70,570",513,"95,210",671,white
1999,"88,890",100,6.8,8.5,8.5,12.1,17.1,13.6,17.6,7.9,8,"70,360",585,"94,290",878,white
1998,"87,210",100,7.2,8.6,8.4,11.8,17.5,13.9,17.5,7.7,7.3,"69,420",572,"91,970",890,white
1997,"86,110",100,7.8,8.9,9,11.9,17.9,13.7,16.9,7.1,6.8,"67,030",699,"89,260",894,white
1996,"85,060",100,7.9,9.2,8.7,12.8,17.8,14,16.7,6.6,6.2,"65,280",555,"86,070",838,white
1995,"84,510",100,8,9.2,9.2,12.5,18.5,14,16.2,6.6,5.7,"64,490",555,"84,260",804,white
1994,"83,740",100,8.5,9.6,9,13.1,18.4,13.5,16,6.2,5.7,"62,810",580,"83,120",795,white
1993,"82,390",100,8.7,9.6,9,13.2,18.3,14,15.7,6.3,5.2,"62,170",596,"81,640",776,white
1992,"81,800",100,8.7,9.5,9.3,12.8,18.7,14.3,16,6.1,4.7,"62,250",496,"78,460",575,white
1991,"81,680",100,8.5,9.3,8.8,13.4,18.7,14.5,16,6.2,4.6,"62,570",499,"78,330",561,white
1990,"80,970",100,8.3,8.8,8.8,12.9,19.6,14.4,16.2,6.1,5,"64,150",483,"79,920",588,white
1989,"80,160",100,7.8,8.9,9,12.4,18.8,14.8,16.6,6.5,5.2,"65,490",524,"81,930",624,white
1988,"79,730",100,8.6,8.6,8.8,12.7,19,15,16.6,6,4.8,"64,710",629,"79,740",618,white
1987,"78,520",100,8.7,8.8,8.9,12.7,19,14.8,16.6,5.9,4.5,"64,020",529,"78,790",560,white
1986,"77,280",100,9.2,8.9,8.7,13,19.2,14.9,16.2,5.6,4.2,"63,090",504,"77,230",543,white
1985,"76,580",100,9.3,9.5,9.1,13.5,19.6,14.6,15.5,5.2,3.7,"61,020",536,"74,130",512,white
1984,"75,330",100,9,9.7,9.3,13.6,20.1,14.6,15.2,5,3.4,"59,900",496,"72,440",463,white
1983,"74,380",100,9.5,9.5,10.1,13.7,20.4,14.5,14.5,4.6,3.1,"57,810",430,"69,820",447,white
1982,"73,180",100,9.8,9.9,9.6,13.9,20.8,14.7,14.1,4.3,3,"58,070",434,"69,610",448,white
1981,"72,850",100,9.6,9.5,10.1,13.9,20.2,15.3,14.4,4.5,2.5,"58,770",446,"69,240",432,white
1980,"71,870",100,9.2,9.6,9.4,13.9,20.4,15.8,14.6,4.5,2.6,"59,690",505,"70,010",441,white
1979,"70,770",100,9.2,9.1,8.8,13.7,20.5,15.9,15.2,4.6,3,"61,230",479,"72,110",473,white
1978,"68,030",100,8.9,9.6,9.3,13.2,20.5,16.3,15.1,4.3,2.8,"60,820",441,"71,410",473,white
1977,"66,930",100,9.4,10,9.2,13.5,21.1,15.7,14.7,3.8,2.5,"59,220",410,"69,420",369,white
1976,"65,350",100,9.5,9.7,9.3,14,21,16.5,14.1,3.7,2.3,"58,710",400,"68,460",363,white
1975,"64,390",100,9.7,10.1,9.5,14.2,21.9,15.6,13.6,3.3,2.1,"57,620",346,"66,720",361,white
1974,"62,980",100,9.2,9.3,9.3,13.5,22.4,16.1,14.1,3.9,2.3,"59,240",366,"68,690",366,white
1973,"61,970",100,9.3,9.4,8.7,12.5,21.9,16.3,15.1,4,2.6,"61,210",384,"70,160",366,white
1972,"60,620",100,10.1,9.1,8.6,13.5,22.5,16,14,3.8,2.4,"59,980",378,"69,130",369,white
1971,"59,460",100,10.9,9.1,9.1,14.3,23.6,15.6,12.4,3.2,1.9,"57,540",361,"65,550",351,white
1970,"57,580",100,11,8.7,9,13.6,24.1,16.1,12.5,3.1,1.9,"57,790",366,"65,760",355,white
1969,"56,250",100,10.9,8.5,8.6,13.9,24.4,16.4,12.4,3,1.9,"58,330",351,"65,950",362,white
1968,"55,390",100,11.2,8.7,9.1,14.9,25.2,15.8,11.1,2.4,1.5,"55,990",343,"63,030",343,white
1967,"54,190",100,12.4,8.8,8.8,15.8,26.2,14.1,9.9,2.4,1.6,"53,780",321,"59,790",333,white
2022,"84,490",100,6.9,7,7.1,9.9,15.7,12.4,17.6,10.1,13.4,"81,060",958,"114,000","1,414",white alone not hispanic
